H	dM/dH
29.62302395	0.226730174
29.81418808	0.23074155
30.09198171	0.235221317
30.4733406	0.238255677
30.8887045	0.238149105
31.19966327	0.235166012
31.38349324	0.231124341
31.49826924	0.227992419
31.64053338	0.223809936
31.75058412	0.22011259
31.88833886	0.21647546
32.02593171	0.212005247
32.16348041	0.20730783
32.3011125	0.203039577
32.36969553	0.199706317
32.50732272	0.195412819
32.64501859	0.191472749
32.78247898	0.186320924
32.9200424	0.181699242
33.0576794	0.177456233
33.22298215	0.17307653
33.33303681	0.16939938
33.49843276	0.165499329
33.66041527	0.161846725
33.91927938	0.157980759
34.26487306	0.155098179
34.68014867	0.154537199
35.06143103	0.157177738
35.37365156	0.160687635
35.65130978	0.164470642
35.86680176	0.168981542
36.0337558	0.173099273
36.20771531	0.177641026
36.39899719	0.182258281
36.59013189	0.186118188
36.79843198	0.18924576
36.95484346	0.192550746
37.04227946	0.197169398
37.14684158	0.200853756
37.25844255	0.205133801
37.43930157	0.209554285
37.66873975	0.214579994
37.7906733	0.218592303
37.99920395	0.222906386
38.19040243	0.227094477
38.50264651	0.230725549
38.91802023	0.230669466
39.33289356	0.228038403
39.59795369	0.226368667
39.71255799	0.222353173
39.80393824	0.217580643
39.91850721	0.213383386
40.05597349	0.208261855
40.17599378	0.20242865
40.26170784	0.198186341
40.3991388	0.192883046
40.46747654	0.188287541
40.57050806	0.184095488
40.60434333	0.180081082
40.74190675	0.1754594
40.86546215	0.170004823
41.01687169	0.165382954
41.15430264	0.160079659
41.29183663	0.155306508
41.41540969	0.149942812
41.49761513	0.145458198
41.54869918	0.14114062
41.63468306	0.138286781
41.75490449	0.133488617
41.84062836	0.129296798
41.9505692	0.125033966
42.11559821	0.119245596
42.28075672	0.114123692
42.39070541	0.109901253
42.45926881	0.106467013
42.59682732	0.101820086
42.73439074	0.097198404
42.87188057	0.092198049
43.07879231	0.088181312
43.14741458	0.085050012
43.31980424	0.081513395
43.49195351	0.076739777
43.66410279	0.071966159
43.8016662	0.067344477
43.97380959	0.062540566
44.0770138	0.059237134
44.38766104	0.054650989
44.58094301	0.051747739
44.69929435	0.05513907
44.69293644	0.047868603
